u,v,key,name,highway,length,maxspeed,lanes,oneway,geometry_wkt
267086487,267086490,0,,tertiary,122.094,,,False,"LINESTRING (77.1464762 28.4927058, 77.1464624 28.492731, 77.1464391 28.4927655, 77.146323 28.4929375, 77.1459445 28.4933146, 77.1457933 28.4934858, 77.1457139 28.4935713)"
267086490,9857174900,0,,tertiary,16.458,,,False,"LINESTRING (77.1457139 28.4935713, 77.1455818 28.4936631)"
267086490,267086487,0,,tertiary,122.094,,,False,"LINESTRING (77.1457139 28.4935713, 77.1457933 28.4934858, 77.1459445 28.4933146, 77.146323 28.4929375, 77.1464391 28.4927655, 77.1464624 28.492731, 77.1464762 28.4927058)"
267086491,9857174900,0,,tertiary,4.19,,,False,"LINESTRING (77.1455482 28.4936865, 77.1455818 28.4936631)"
267086491,4154369840,0,,"['tertiary', 'unclassified']",185.448,,,False,"LINESTRING (77.1455482 28.4936865, 77.1450698 28.4940388, 77.1447578 28.4942678, 77.1441833 28.4947414, 77.1441242 28.4947879)"
267086491,10164856349,0,,residential,208.18,,,False,"LINESTRING (77.1455482 28.4936865, 77.1449762 28.4936812, 77.1449527 28.4936776, 77.1449393 28.4936712, 77.1449286 28.493657, 77.1449246 28.4936382, 77.1448843 28.4931714, 77.1449813 28.4931023, 77.1451531 28.493052, 77.145338 28.4930153, 77.1453926 28.4930109, 77.1454415 28.4930346, 77.1454481 28.4933326)"
267193160,6655403155,0,Kautilya Marg,tertiary,8.642,,4,False,"LINESTRING (77.19098 28.6030931, 77.1910488 28.6030442)"
267193160,9852498321,0,Kautilya Marg,tertiary,47.402,,4,False,"LINESTRING (77.19098 28.6030931, 77.1908063 28.603223, 77.1906171 28.6033762)"
267193232,9861910919,0,Abai Marg,residential,8.018,,,False,"LINESTRING (77.1732201 28.5904599, 77.1731763 28.5905209)"
267193232,910549669,0,San Martin Marg,tertiary,69.18599999999999,,,True,"LINESTRING (77.1732201 28.5904599, 77.1728947 28.5902852, 77.1726251 28.5901224)"
267193233,9861971784,0,San Martin Marg,tertiary,9.805,,,True,"LINESTRING (77.1750225 28.5914954, 77.1749405 28.5914445)"
267193236,13296106594,0,Jesus and Mary Marg,residential,7.307,,,False,"LINESTRING (77.1768719 28.5937317, 77.1768082 28.5937662)"
267193236,267193250,0,Jesus and Mary Marg,residential,235.222,,,False,"LINESTRING (77.1768719 28.5937317, 77.1773869 28.5934323, 77.1777975 28.5931505, 77.177859 28.5931083, 77.177876 28.5930957, 77.1780705 28.5929511, 77.1782128 28.5928454, 77.1783053 28.5927767, 77.1787549 28.5924177)"
267193236,267193233,0,San Martin Marg,tertiary,313.073,,,True,"LINESTRING (77.1768719 28.5937317, 77.1766107 28.5932539, 77.1760565 28.5923475, 77.1759504 28.5921974, 77.1758252 28.5920578, 77.1757132 28.5919627, 77.1755696 28.5918656, 77.1754439 28.5917805, 77.1752478 28.5916479, 77.1750225 28.5914954)"
267193237,9861910930,0,Manas Marg,residential,12.422,,4,False,"LINESTRING (77.177921 28.5956006, 77.1778526 28.5956948)"
267193237,267193236,0,San Martin Marg,tertiary,231.686,,,True,"LINESTRING (77.177921 28.5956006, 77.1775685 28.5949757, 77.1769999 28.5939676, 77.1768719 28.5937317)"
267193238,9861910938,0,Panchsheel Marg,secondary,8.53,,2,True,"LINESTRING (77.1820296 28.6007218, 77.1819574 28.600765)"
267193238,10302298922,0,San Martin Marg,tertiary,23.357,,,True,"LINESTRING (77.1820296 28.6007218, 77.1818921 28.6005499)"
267193239,6576535188,0,Panchsheel Marg,secondary,13.154,,2,True,"LINESTRING (77.1836507 28.6001813, 77.1837738 28.6001332)"
267193242,563661913,0,,residential,121.483,,,False,"LINESTRING (77.183535 28.5964748, 77.1822923 28.5965304)"
267193242,563661912,0,Chandragupta Marg,secondary,40.196,,,True,"LINESTRING (77.183535 28.5964748, 77.183576 28.5966488, 77.183575 28.5968326)"
267193245,9865315019,0,Chandragupta Marg,secondary,10.55,,,True,"LINESTRING (77.1809162 28.5910941, 77.1809524 28.5911835)"
267193245,9865315017,0,Jesus and Mary Marg,residential,53.757999999999996,,,True,"LINESTRING (77.1809162 28.5910941, 77.1808058 28.5911384, 77.1807147 28.5911851, 77.1805459 28.5912718, 77.1804546 28.5913508)"
267193248,267193394,0,Dr S. Radha Krishnan Marg,residential,59.959,,,True,"LINESTRING (77.1795032 28.591771, 77.1791325 28.5913411)"
267193248,6998127074,0,Jesus and Mary Marg,residential,12.015,,,False,"LINESTRING (77.1795032 28.591771, 77.1794085 28.59184)"
267193248,9865315017,0,Jesus and Mary Marg,residential,104.351,,,False,"LINESTRING (77.1795032 28.591771, 77.1797473 28.5916236, 77.1804546 28.5913508)"
267193250,563661904,0,Doctor Jose Protasio Rizal Marg,residential,212.87199999999999,,2,False,"LINESTRING (77.1787549 28.5924177, 77.1789556 28.5928149, 77.1795738 28.5940388, 77.1796389 28.5941677)"
267193250,267193236,0,Jesus and Mary Marg,residential,235.222,,,False,"LINESTRING (77.1787549 28.5924177, 77.1783053 28.5927767, 77.1782128 28.5928454, 77.1780705 28.5929511, 77.177876 28.5930957, 77.177859 28.5931083, 77.1777975 28.5931505, 77.1773869 28.5934323, 77.1768719 28.5937317)"
267193250,6998127074,0,Jesus and Mary Marg,residential,90.564,,,False,"LINESTRING (77.1787549 28.5924177, 77.1791293 28.5920758, 77.1794085 28.59184)"
267193270,563661892,0,Chandra Gupta Marg,residential,96.94900000000001,,,False,"LINESTRING (77.1808058 28.5900162, 77.1808362 28.5896279, 77.1808523 28.5894073, 77.1808901 28.5891478)"
267193270,563661898,0,,residential,25.833,,,True,"LINESTRING (77.1808058 28.5900162, 77.1807577 28.5901041, 77.180757 28.5902389)"
267193290,6655403039,0,André Malraux Marg,residential,9.905,50,,False,"LINESTRING (77.1865378 28.5966818, 77.1866303 28.5966452)"
267193290,6576529257,0,André Malraux Marg,residential,314.94,50,,False,"LINESTRING (77.1865378 28.5966818, 77.1835946 28.5978412)"
267193290,6655403034,0,Nyaya Marg,tertiary,208.49899999999997,,,True,"LINESTRING (77.1865378 28.5966818, 77.1865992 28.5968007, 77.1867665 28.5971249, 77.1872653 28.5980917, 77.1872709 28.5981244, 77.1872935 28.5982578, 77.1872995 28.598417)"
267193295,12743987686,0,,residential,12.403,,,True,"LINESTRING (77.1807918 28.590416, 77.1808609 28.5905096)"
267193295,267193245,0,Chandragupta Marg,secondary,77.529,,,True,"LINESTRING (77.1807918 28.590416, 77.1807713 28.5904865, 77.1807713 28.5905878, 77.1807868 28.59069, 77.1808565 28.5909363, 77.1808847 28.5910108, 77.1809162 28.5910941)"
